数据来源,关键词,岗位名称,薪资,城市,经验要求,学历要求,公司名称
智联,计算机,专升本计算机教师,3000-6000元,兰州·安宁区·孔家崖街道,1-3年,本科,立即投递收藏
智联,计算机,计算机老师,5000-7000元,郑州·新郑·和庄,经验不限,本科,立即投递收藏
智联,计算机,计算机维护工程师,8000-13000元·13薪,杭州·滨江·西兴,1-3年,大专,立即投递收藏
智联,计算机,实施工程师（计算机方向）,5000-8000元,北京·平谷·山东庄,经验不限,大专,立即投递收藏
智联,计算机,计算机维护工程师,5000-8000元,重庆·九龙坡·渝州路,3-5年,大专,立即投递收藏
智联,计算机,计算机网络初级工程师,4000-6000元,合肥,经验不限,大专,立即投递收藏
智联,计算机,专升本汉语言文学、旅游管理、计算机等教师,6000-8000元,昆明·盘龙·拓东,经验不限,本科,立即投递收藏
智联,计算机,计算机及财务软件操作员,3000-6000元,开封·龙亭区,经验不限,大专,立即投递收藏
智联,计算机,计算机老师,4000-8000元,西安·未央·草滩,1年以下,本科,立即投递收藏
智联,计算机,计算机硬件维护工程师,1-1.2万,衡阳·石鼓区,1年以下,大专,立即投递收藏
智联,计算机,计算机维护工程师,4000-6000元,呼和浩特·成吉思汗街,经验不限,大专,立即投递收藏
智联,计算机,计算机硬件维护专员,8000-9000元,广州·天河·黄村,1-3年,本科,立即投递收藏
智联,计算机,计算机教师（平面设计老师）,4000-8000元,临沂·河东·九曲,经验不限,本科,立即投递收藏
智联,计算机,计算机制造基层岗,3000-6000元,金华·金东区·塘雅镇,经验不限,大专,立即投递收藏
智联,计算机,兼职计算机教师,3000-4000元,南昌·南昌县·向塘,1-3年,本科,立即投递收藏
智联,计算机,重庆专升本讲师（英语/高数/计算机/语文）,7000-14000元,重庆·巴南·龙洲湾,3-5年,本科,立即投递收藏
智联,计算机,计算机教师,5000-7000元,无锡·惠山·钱桥,经验不限,硕士,立即投递收藏
智联,计算机,AI计算机撰稿编辑,5000-8000元,石家庄·新华·天苑,经验不限,本科,立即投递收藏
智联,计算机,计算机、物联网、大数据专业专任教师,5000-8000元,长春·二道·英俊,经验不限,硕士,立即投递收藏
智联,计算机,计算机硬件维护工程师,8000-11000元,苏州·吴中·长桥,1年以下,大专,立即投递收藏
智联,计算机,计算机文员,5000-8000元,长春·绿园·正阳,经验不限,大专,立即投递收藏
智联,计算机,计算机技术员,5000-9000元,武汉·洪山·九峰,1-3年,大专,立即投递收藏
智联,计算机,计算机网络助理,5000-6000元,南昌·南昌县·小蓝经开区,经验不限,本科,立即投递收藏
智联,计算机,计算机教师,5000-7000元,新乡·原阳县·祝楼乡,经验不限,硕士,立即投递收藏
智联,计算机,中职计算机专业教师,4000-6000元,连云港·连云区·宿城街道,经验不限,本科,立即投递收藏
智联,计算机,计算机教师,7000-12000元,九江·共青城市·甘露镇,经验不限,本科,立即投递收藏
智联,计算机,计算机技术支持专员,9000-12000元,长沙·岳麓·学士,1-3年,大专,立即投递收藏
智联,计算机,计算机基础讲师,7000-10000元,保定·莲池·南大园,1-3年,本科,立即投递收藏
智联,计算机,大数据学院-计算机科学与技术类教师,6000-8000元,泰安·岱岳区·山口镇,经验不限,硕士,立即投递收藏
智联,计算机,计算机辅助设计师,100-200元/天,许昌·魏都区·南关街道,经验不限,本科,立即投递收藏
智联,计算机,计算机专员,7000-10000元,郑州·惠济·刘寨,经验不限,大专,立即投递收藏
智联,计算机,计算机专业教师,9000-12000元,湖州·安吉县·昌硕街道,经验不限,硕士,立即投递收藏
智联,计算机,计算机类专业教师,1-1.2万,福州·永泰·葛岭,经验不限,硕士,立即投递收藏
智联,计算机,计算机应用与技术专任教师,6000-7000元,德州·德城区·袁桥镇,经验不限,硕士,立即投递收藏
智联,计算机,计算机应用技术专任教师,5000-7000元,重庆·大足·龙岗,1-3年,本科,立即投递收藏
智联,计算机,计算机硬件销售,1-2万,深圳·南山·桃源,1-3年,学历不限,立即投递收藏
智联,计算机,计算机网络工程师,9000-14000元,太原·小店·小店街道,3-5年,本科,立即投递收藏
智联,计算机,计算机教师,5000-6000元,长春·朝阳,经验不限,本科,立即投递收藏
智联,计算机,计算机维修维护员,3000-6000元,嘉兴·南湖区·东栅街道,1-3年,大专,立即投递收藏
智联,计算机,[27届暑期实习]计算机整合制造工程师(CIM),190-200元/天,南京·浦口·桥林,经验不限,硕士,立即投递收藏
智联,计算机,专升本助教老师（高数、语文、英语、计算机、政治）,5000-10000元,济南·长清·崮云湖,经验不限,本科,立即投递收藏
智联,计算机,计算机工程师,8000-15000元,南京·江宁·秣陵,3-5年,本科,立即投递收藏
智联,计算机,计算机专业教师,4000-6000元·13薪,合肥·经开区·桃花,经验不限,硕士,立即投递收藏
智联,计算机,计算机维修,3000-5000元,潍坊·奎文·潍州路,经验不限,大专,立即投递收藏
智联,计算机,售后技术支持（计算机专业优先）,3000-6000元,佛山·南海·桂城,经验不限,大专,立即投递收藏
