job_name,city,education,work_exp,company,salary_avg,data_source
IT技术支持,北京,本科,无需经验,郑州多弥电子科技,8000,前程无忧
网络工程师,北京,大专,无需经验,上海目柏机电,8250,前程无忧
硬件工程师,北京,本科,3年及以上,浙江永贵电器,15000,前程无忧
桌面运维（双休，五险一金）,北京,大专,无需经验,江西仓岛科技,11000,前程无忧
大客户经理,北京,本科,2年及以上,万得信息技术,22500,前程无忧
EDA软件工程师,北京,硕士,1-5年,中科芯磁科技（珠海）,16000,前程无忧
电驱设备维修工程师,北京,本科,3年及以上,小米通讯技术,16000,前程无忧
it技术支持,北京,大专,1年及以上,北京博石众强商贸,12500,前程无忧
Java开发工程师-北京,北京,本科,4年及以上,康龙化成（北京）新药技术,11500,前程无忧
服务器装备测试工程师（北京通州区）,北京,本科,1-3年,软通计算机,8000,前程无忧
国央企实习生,北京,本科,无需经验,前锦网络信息技术（上海）,4500,前程无忧
图形显示系统工程师/架构师,北京,本科,3年及以上,恒玄科技（上海）,30000,前程无忧
资深工艺经理/总监,北京,硕士,8年及以上,研微（江苏）半导体科技,65000,前程无忧
软件测试工程师,北京,本科,3年及以上,广州竞远安全技术,13500,前程无忧
组装调试工程师,北京,大专,无需经验,北京欧兴科技,7000,前程无忧
高级统计师-数据产生中心组(J26885),北京,博士,1年及以上,信达生物制药（苏州）,27500,前程无忧
软件项目奖经理-可出差,北京,本科,3年及以上,北京三维天地科技股份有限公司济南,16500,前程无忧
Ai数据工程师,北京,本科,无需经验,顺鑫（北京）国际贸易,10000,前程无忧
解决方案高级经理,北京,本科,5年及以上,数坤科技,27500,前程无忧
驱动工程师（音视频会议）,北京,本科,5年及以上,深圳市明日实业,27500,前程无忧
软件设计与开发岗,北京,本科,无需经验,中国银行保险信息技术管理,20000,前程无忧
销售助理,北京,大专,4年及以上,四川格锐乾图科技,10000,前程无忧
售前解决方案专家,北京,本科,5年及以上,进迭时空（杭州）科技,35000,前程无忧
甘家口街道招聘,北京,大专,无需经验,北京中科航天人才服务,4000,前程无忧
销售经理（华北）,北京,本科,3年及以上,上海汉得信息技术,15000,前程无忧
软件工程师,北京,大专,无需经验,上海昭洋远科信息科技,15000,前程无忧
数据分析师（双休）,北京,大专,无需经验,北京屿博智能科技,10000,前程无忧
数据录入/数据分析,北京,本科,1-3年,杭州愿达网络科技有限公司北京,8000,前程无忧
装维经理,北京,大专,3年及以上,前锦网络信息技术（上海）,12000,前程无忧
数据分析师（双休加补贴）,北京,大专,无需经验,河南腾桓人力资源,10000,前程无忧
数据服务执行岗,北京,本科,无需经验,中国银行保险信息技术管理,20000,前程无忧
桌面运维工程师,北京,本科,1-3年,北京博石众强商贸,10000,前程无忧
实施工程师,北京,本科,无需经验,上海目柏机电,9000,前程无忧
DBA,北京,本科,3年及以上,北京弈云网络科技,32500,前程无忧
运维实施工程师,北京,本科,3年及以上,中盈优创资讯科技,9000,前程无忧
信息技术专员（双休+补贴）,北京,大专,无需经验,河南星芽网络科技,10000,前程无忧
功能测试(J10001),北京,本科,1年及以上,快助（天津）科技,7000,前程无忧
技术支持工程师（北京）,北京,大专,1年及以上,珠海市鸿瑞信息技术,9000,前程无忧
物联网工程师,北京,大专,无需经验,上海仁廉信息科技,11000,前程无忧
集群算法及实时数字孪生作战系统工程师,北京,博士,3年及以上,深圳市阿拉丁无人机,30000,前程无忧
知识图谱算法工程师（Python / 构建与应用方向）,北京,本科,3年及以上,深圳市易立德信息科技,19000,前程无忧
运维工程师（双休+补贴）,北京,大专,无需经验,河南星芽网络科技,10000,前程无忧
网络工程师,北京,大专,无需经验,上海狩利信息科技,10000,前程无忧
